fileName,rowID,docID,score,url,title,snippet,
University of California Davis.csv,0,10,0.18236938,http://www.ucdavis.edu/,UC Davis | UC Davis,California Bodega Bay California Sacramento California Incline Village Nevada Redwoods NP  Lassen Vo,
University of California Berkeley.csv,5,5,0.1779269,https://calparents.berkeley.edu/,Cal Parents & Families,"b""  Cal Parents & Families Toggle navigation Ready to see Berkeley for yourself? Find information about campus tours and highlights planning your day and traveling to campus. At Berkeley the greatest minds come together to address the worldas most pertinent challenges. Explore academic departments interdisciplinary research units and academic resources to help your student. Find the facts forms and resources you need to estimate  and apply for aid from our financial aid and scholarships office. Our students come from different places and backgrounds but together they create a diverse and kinetic community. Explore campus services to help your student feel at home at Berkeley. Ready to get involved? Find out about opportunities to become an advocate and representative of the campus community. When you give to Berkeley you help support the entire campus community. Choose a particular program to support or make an unrestricted gift. Letter Home is a newsletter for parents and families of Cal students Welcome new Cal Parents! Your familyas Berkeley experience has just begun. Your student is now responsible for all of their tasks and deadlines however to give parents peace of mind we are offering parents an insight into their new responsibilities. The links on the right provide you with an understanding of what and when students take care of their assigned tasks. Go Bears!  Text Box Hero  Keegan Houser    #post-11   /container   #content  Jun 06 Jun 21 Jul 01 Start Here (5/17/2022) (5/10/2022) (5/9/2022)  .row   .container  A Renewed People's Park Play Discover the Cal Parents & Families program Video Press ESC to close video dialog To share this video via email copy and paste the message and URL below into your favorite email client and send.  /.modal-content   /.modal-dialog  Latest news from campus  .row   .container  Payment Options A resource guide to help guide your student (English Spanish and Chinese) Play Cal Central  Delegate Access for Finances and Enrollment Video Press ESC to close video dialog To share this video via email copy and paste the message and URL below into your favorite email client and send.  /.modal-content   /.modal-dialog   .row   .container   #content   .row  \r      \t  \r\t\t        Copyright   2022 UC Regents; all rights reserved\r\t\t\t  - The latest updates on the evolving COVID-19 policies and resources for the campus community.A      /orbisius_simple_notice """,
University of California Hastings College of Law.csv,2,19,0.16554901,https://www.uchastings.edu,UC Hastings College of the Law - San Francisco California,California Hastings College of the Law was established by statute in 1878 and is governed by a Board,
University of California Irvine.csv,2,26,0.16043441,https://uci.edu/,Home | UCI,California location. Learn  more about visiting our campus Campus Maps Visit the Campus Maps page fo,
University of California Davis.csv,5,15,0.15696675,https://www.ucdavis.edu/emergency/#quicklink,Emergencies and FAQs | UC Davis,California counties. The station has a large coverage area and offers live audio streaming on itsA  ,
University of California Berkeley.csv,7,7,0.15477075,http://www.berkeley.edu/map,Campus Map | University of California Berkeley,"b""  Toggle navigation From a group of academic pioneers in 1868 to the Free Speech Movement in 1964 Berkeley is a place where the brightest minds from across the globe come together to explore ask questions and improve the world. Want to change the world? At Berkeley weare doing just that. When you join the Golden Bear community youare part of an institution that shifts the global conversation every single day.  Berkeley is home to some of the world's greatest minds leading more than 130 academic departments and 80 interdisciplinary research units and addressing the worldas most pertinent challenges.  From expeditions to Egypt in the late 1800s to stem cell research and artificial intelligence today Berkeley has been at the forefront of research throughout its history. Here students can work side-by-side with Nobel Laureates Fields medal winners Fulbright Scholars and MacArthur fellows.  Life at Berkeley blends research and reflection the scientific with the artistic and the scholarly with the athletic. Our students come from different places and backgrounds but together they create a diverse and kinetic community that seeks to create a better world.   Sidebar menu on mobile    accordion     sidebar-wrapper  Click on a location on the map to view its details. Or choose a building road or point of interest by name from the menus below.  mapnavcol   row   map  Facebook Twitter YouTube Instagram Medium \r                  Copyright  2022   UC Regents; all rights reserved\r              content """,
University of California Davis.csv,6,16,0.15464237,http://campusmap.ucdavis.edu/,UC Davis: Campus Map,California Davis campus. All rights reserved. Click to Close Campus Parking:   Directions:     Share,
University of California Irvine.csv,0,24,0.14905208,http://www.uci.edu/,Home | UCI,California location. Learn  more about visiting our campus Campus Maps Visit the Campus Maps page fo,
University of California Irvine.csv,1,25,0.14905208,http://www.uci.edu/,Home | UCI,California location. Learn  more about visiting our campus Campus Maps Visit the Campus Maps page fo,
University of California Berkeley.csv,9,9,0.14507289,https://bconnected.berkeley.edu/,Home | bConnected,"b""   Brand and toggle get grouped for better mobile display  Toggle navigation      /.navbar-header   Collect the nav links forms and other content for toggling  Submit Search     Welcome to bConnected! We believe inA  . We provide online services to help youA easilyA collaborate and share informationA across campus and around the world.A        Information regarding updating your bConnected accounts mailing lists and CalNet identity.       UC Berkeley offers a variety of training and resource options to students faculty and staff wishing to learn more about the bConnected services.A        Important information regarding privacy security fair use and your responsibilities as a user.A        What's new in bConnected Collaboration Services? Read about product updates news and featured case studies.A        Learn all about bConnected's latest projects.          /.navbar-collapse   /.navbar     /#pre-content     /#title-pre-content  Ransomware attacks have been reported on campus learn how to protect yourself December 21 2021   Dec   21         December 16 2021   Dec   16         December 14 2021   Dec   14            /.moscone-flipped     /.main     /#content     /#main-content     role main    Web AccessibilityA     Statement  Policy Statement  Statement""",
University of California Berkeley.csv,1,1,0.14456391,http://www.berkeley.edu/,Home | University of California Berkeley,"b""   Close  Close    Brand and toggle get grouped for better mobile display  Toggle navigation  Collect the nav links forms and other content for toggling  From a group of academic pioneers in 1868 to the Free Speech Movement in 1964 Berkeley is a place where the brightest minds from across the globe come together to explore ask questions and improve the world. Want to change the world? At Berkeley weare doing just that. When you join the Golden Bear community youare part of an institution that shifts the global conversation every single day.  Berkeley is home to some of the world's greatest minds leading more than 130 academic departments and 80 interdisciplinary research units and addressing the worldas most pertinent challenges.  From expeditions to Egypt in the late 1800s to stem cell research and artificial intelligence today Berkeley has been at the forefront of research throughout its history. Here students can work side-by-side with Nobel Laureates Fields medal winners Fulbright Scholars and MacArthur fellows.  Life at Berkeley blends research and reflection the scientific with the artistic and the scholarly with the athletic. Our students come from different places and backgrounds but together they create a diverse and kinetic community that seeks to create a better world.   /.primary-nav   /.navbar-collapse   /.container  2022/23 season Carl Fox   JUN   03 JUN   04 JUN   05  /.row   /.row  Twitter heading image column middle media column The human pituitary growth hormone (somatotropin) is isolated and in 1971 synthesized by biochemistry professor Choh Hao Li. Explore the timeline detail column row Facebook Twitter YouTube Instagram Medium \r                  Copyright  2022   UC Regents; all rights reserved\r            """,
University of California Davis.csv,2,12,0.14362186,http://my.ucdavis.edu/,myucdavis,California We want your Feedback',
University of California Irvine.csv,3,27,0.13632888,http://www.uci.edu/about/index.php,About Us | UCI,California Irvine was founded with a mission to catalyze the community and enhance lives through rig,
University of California Hastings College of Law.csv,0,17,0.13378847,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,California Hastings College of the Law was established by statute in 1878 and is governed by a Board,
University of California Hastings College of Law.csv,1,18,0.13378847,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,California Hastings College of the Law was established by statute in 1878 and is governed by a Board,
University of California Irvine.csv,4,28,0.12450793,http://chancellor.uci.edu,UC Irvine Chancellor - Home | Office of the Chancellor | UCI,California Irvine one of the nations foremost public research universities and an anchoring institut,
University of California Irvine.csv,5,29,0.12450793,https://uci.edu/brilliant/,Home // Brilliant Future // UCI,California but modeling helps communities develop solutions Leveraging the strength of the entirety ,
