fileName,rowID,docID,score,url,title,snippet,
University of California Irvine.csv,6,30,0.26367128,http://www.uci.edu/university-facts/index.php,University Facts | UCI,ources Administrative Offices Academic Senate Directory Visit Work at UCI Support UCI Smoke-Free Cam,
University of California Davis.csv,3,13,0.257486,https://myadmissions.ucdavis.edu/,MyAdmissions | UC Davis,our UC Davis application and if you are admitted submit your Statement of Intent to Register and com,
University of California Hastings College of Law.csv,3,20,0.25745282,https://www.uchastings.edu/our-story/,Our Story & About Us - UC Hastings College of the Law,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Hastings College of Law.csv,5,22,0.2487593,https://www.uchastings.edu/academics/,Academic Programs - UC Hastings College of the Law,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Hastings College of Law.csv,2,19,0.24462219,https://www.uchastings.edu,UC Hastings College of the Law - San Francisco California,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Hastings College of Law.csv,6,23,0.24462219,https://www.uchastings.edu/faculty-research/,Our Faculty & Research - UC Hastings College of the Law,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Irvine.csv,2,26,0.2429161,https://uci.edu/,Home | UCI,ources Administrative Offices Academic Senate Directory Visit Work at UCI Support UCI Smoke-Free Cam,
University of California Irvine.csv,4,28,0.23950101,http://chancellor.uci.edu,UC Irvine Chancellor - Home | Office of the Chancellor | UCI,Our Vision Communications Toggle dropdown:  Communications In the Community Campuswide Communication,
University of California Irvine.csv,3,27,0.23531559,http://www.uci.edu/about/index.php,About Us | UCI,ources Administrative Offices Academic Senate Directory Visit Work at UCI Support UCI Smoke-Free Cam,
University of California Davis.csv,2,12,0.19473328,http://my.ucdavis.edu/,myucdavis,our myucdavis tools. Tiles are saved on different ""views."" The default is   which includes all the,
University of California Berkeley.csv,4,4,0.19214174,http://www.berkeley.edu/faculty-staff,Faculty & Staff | University of California Berkeley,Our students come from different places and backgrounds but together they create a diverse and kinet,
University of California Hastings College of Law.csv,4,21,0.19066872,https://www.uchastings.edu/admissions/,Admissions UC Hastings College of the Law - San Francisco California,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Irvine.csv,1,25,0.1881055,http://www.uci.edu/,Home | UCI,ources Administrative Offices Academic Senate Directory Visit Work at UCI Support UCI Smoke-Free Cam,
University of California Hastings College of Law.csv,0,17,0.1814004,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Hastings College of Law.csv,1,18,0.1814004,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\t,
University of California Irvine.csv,0,24,0.16864729,http://www.uci.edu/,Home | UCI,ources Administrative Offices Academic Senate Directory Visit Work at UCI Support UCI Smoke-Free Cam,
University of California Berkeley.csv,6,6,0.16643381,https://alumni-friends.berkeley.edu/,Home â€? University of California Berkeley,oursquare.com/cal"" class=""footer-foursquare"" title=""Foursquare""></a>   Copyright 2022 UC Regent,
University of California Berkeley.csv,2,2,0.16363613,https://coronavirus.berkeley.edu/,UC Berkeley Coronavirus (COVID-19) updates and resources â€? University of California Berkeley Coronavirus Updates,ourseA   EHS 207: UC Berkeley Guidelines on Protecting Workers from COVID-19  (Revised 5/10/2022) is,
University of California Berkeley.csv,3,3,0.16363613,http://www.berkeley.edu/students,Students | University of California Berkeley,Our students come from different places and backgrounds but together they create a diverse and kinet,
University of California Berkeley.csv,0,0,0.16093095,http://www.berkeley.edu/,Home | University of California Berkeley,Our students come from different places and backgrounds but together they create a diverse and kinet,
University of California Davis.csv,0,10,0.15831377,http://www.ucdavis.edu/,UC Davis | UC Davis,our students thrive.     Image   Davis California Bodega Bay California Sacramento California Inclin,
University of California Berkeley.csv,7,7,0.13616884,http://www.berkeley.edu/map,Campus Map | University of California Berkeley,Our students come from different places and backgrounds but together they create a diverse and kinet,
University of California Irvine.csv,5,29,0.11945894,https://uci.edu/brilliant/,Home // Brilliant Future // UCI,our shared sense of humanity in this diverse and digital age.                                 OC Com,
University of California Irvine.csv,7,31,0.10877983,http://strategicplan.uci.edu,Home - UCI Strategic Plan,our strategic pillars we have a clear direction into the foreseeable future that echoes the promise ,
University of California Davis.csv,4,14,0.10690941,https://giving.ucdavis.edu/?utm_source=ucdhome&utm_medium=btn&utm_campaign=expect%20greater&utm_content=quicklinks,Home | UC Davis Giving,our impact is so much greater than the sum of our parts. Our greatness has grown to include the live,
