fileName,rowID,docID,score,url,title,snippet,
University of California Hastings College of Law.csv,3,20,0.70763993,https://www.uchastings.edu/our-story/,Our Story & About Us - UC Hastings College of the Law,b'  UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services \t\t\t\t\tMore\t\t\t\t Clear Search Search Resources For Our Story Admissions Academics Faculty and Research Campus Life Diversity Career Services When UC Hastings was established in 1878 as the original law department of the University of California it was decided that the College should prepare lawyers for the practice of law within close proximity to the courts in the heart of the booming city of San Francisco. Fast-forward to today  our location continues to provide access to every level of the judiciary. UC Hastings continues to redefine legal education integrating rigorous academics with hands-on practice to prepare our graduates to leverage the opportunities of the 21st century. And San Francisco continues to boom providing our students with access to the most innovative companies and people on the planet. We are on the cusp of a revolution that will not simply change the way lawyers practice law but also what it means to be a lawyer writes Chancellor & Dean David Faigman. At UC Hastings we are prepared for this revolution. Full Message At UC Hastings Law we are committed to ensuring that our values of diversity equity and inclusion are infused into every aspect of the Collegeas operations. Learn More In September 2020 UC Hastings Law completed a three-year project to examine founder Serranus Clinton Hastingsa involvement in mass killings of Native Americans in Californiaas Eden and Round valleys during the mid-19 A century and to determine how best to address the legacy of the Hastings name with meaningful action. Learn More The first phase of the UC Hastings campus plan is located at 333 Golden Gate Avenue a state-of-the-art academic hub featuring smart classrooms conference rooms and shared community spaces for students faculty and alumni. The rooftop floor of 333 Golden Gate will be home to a premier community event space with views of City Hall and the iconic San Francisco skyline. Learn More A pioneer in opening up the California bar to women Clara Foltz with the help of Laura D. Gordon proved instrumental in spearheading an amendment to dismantle the gender limitations of law school admissions in 1878. She then went on to become the first woman admitted to a legal practice in California. Among a multitude of accomplishments Clara Foltz boasted her own legal practice the founding of   Bee and served as the first woman deputy district attorney in Los Angeles. Hastings former professor and dean Ellington Snodgrass gathered a group of eminent scholars and jurists from the nations top law schools. Founded in 1940 the Sixty Five Club pulled from a group of brilliant minds involuntarily retired at 65 to provide Hastings with one of the most distinguished faculties of any American law school. Prominent Hastings professors included Roger J. Traynor and Raymond L. Sullivan from the California Supreme Court as well as U.S. Supreme Court Justice Arthur Goldberg. University of California Hastings College of the Law was established by statute in 1878 and is governed by a Board of Directors. Access a list of Board of Directors Emeritus plus Board Bylaws Standing Orders Meeting Notices Agendas and Materials on our  . \t\t\t\t\t\tContact Us\t\t\t\t\t 200 McAllister Street San Francisco CA 94102 : (415) 565-4600 Resources For Follow us on Twitter Find us on Facebook Follow us on Instagram Follow us on YouTube \t\t\t 2022\t\t\t',
University of California Berkeley.csv,4,4,0.6169162,http://www.berkeley.edu/faculty-staff,Faculty & Staff | University of California Berkeley,programs Learning management system Review grades registration class schedules and financial aid etc,
University of California Davis.csv,4,14,0.5652523,https://giving.ucdavis.edu/?utm_source=ucdhome&utm_medium=btn&utm_campaign=expect%20greater&utm_content=quicklinks,Home | UC Davis Giving,programs and projects that confront lifeas most unjust conditions and most urgent challenges to crea,
University of California Hastings College of Law.csv,6,23,0.5420271,https://www.uchastings.edu/faculty-research/,Our Faculty & Research - UC Hastings College of the Law,Program Centers of Excellence The Judges Book Law and the Pandemic Podcast Series Faculty in the New,
University of California Irvine.csv,5,29,0.5420271,https://uci.edu/brilliant/,Home // Brilliant Future // UCI,programs off-campus lectures legal aid initiatives wellness clinics youth outreach efforts and commu,
University of California Berkeley.csv,1,1,0.47725722,http://www.berkeley.edu/,Home | University of California Berkeley,"b""   Close  Close    Brand and toggle get grouped for better mobile display  Toggle navigation  Collect the nav links forms and other content for toggling  From a group of academic pioneers in 1868 to the Free Speech Movement in 1964 Berkeley is a place where the brightest minds from across the globe come together to explore ask questions and improve the world. Want to change the world? At Berkeley weare doing just that. When you join the Golden Bear community youare part of an institution that shifts the global conversation every single day.  Berkeley is home to some of the world's greatest minds leading more than 130 academic departments and 80 interdisciplinary research units and addressing the worldas most pertinent challenges.  From expeditions to Egypt in the late 1800s to stem cell research and artificial intelligence today Berkeley has been at the forefront of research throughout its history. Here students can work side-by-side with Nobel Laureates Fields medal winners Fulbright Scholars and MacArthur fellows.  Life at Berkeley blends research and reflection the scientific with the artistic and the scholarly with the athletic. Our students come from different places and backgrounds but together they create a diverse and kinetic community that seeks to create a better world.   /.primary-nav   /.navbar-collapse   /.container  2022/23 season Carl Fox   JUN   03 JUN   04 JUN   05  /.row   /.row  Twitter heading image column middle media column The human pituitary growth hormone (somatotropin) is isolated and in 1971 synthesized by biochemistry professor Choh Hao Li. Explore the timeline detail column row Facebook Twitter YouTube Instagram Medium \r                  Copyright  2022   UC Regents; all rights reserved\r            """,
University of California Hastings College of Law.csv,0,17,0.42530373,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,program from the UC Hastings Law Center for Negotiation and Dispute Resolution including certificate,
University of California Hastings College of Law.csv,1,18,0.42530373,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,program from the UC Hastings Law Center for Negotiation and Dispute Resolution including certificate,
University of California Irvine.csv,2,26,0.4033497,https://uci.edu/,Home | UCI,Programs Business Law Medicine Undergraduate International Admissions Graduate International Admissi,
University of California Hastings College of Law.csv,5,22,0.38355094,https://www.uchastings.edu/academics/,Academic Programs - UC Hastings College of the Law,Programs Experiential Learning Global Programs Multiple Degrees Support for Academic Success Masters,
