fileName,rowID,docID,score,url,title,snippet,
University of California Davis.csv,4,14,0.19189489,https://giving.ucdavis.edu/?utm_source=ucdhome&utm_medium=btn&utm_campaign=expect%20greater&utm_content=quicklinks,Home | UC Davis Giving,uch greater than the sum of our parts. Our greatness has grown to include the lives we reach and enr,
University of California Hastings College of Law.csv,4,21,0.18823123,https://www.uchastings.edu/admissions/,Admissions UC Hastings College of the Law - San Francisco California,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Hastings College of Law.csv,6,23,0.18809481,https://www.uchastings.edu/faculty-research/,Our Faculty & Research - UC Hastings College of the Law,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Berkeley.csv,1,1,0.1871647,http://www.berkeley.edu/,Home | University of California Berkeley,UC Regents; all rights reserved\r            "",
University of California Davis.csv,0,10,0.18674144,http://www.ucdavis.edu/,UC Davis | UC Davis,UC Davis is centrally located in Northern California. Weare a day trip away from some of the most be,
University of California Davis.csv,2,12,0.18305038,http://my.ucdavis.edu/,myucdavis,ucdavis tools. Tiles are saved on different ""views."" The default is   which includes all the tiles,
University of California Hastings College of Law.csv,2,19,0.1804165,https://www.uchastings.edu,UC Hastings College of the Law - San Francisco California,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Davis.csv,6,16,0.17889673,http://campusmap.ucdavis.edu/,UC Davis: Campus Map,b'  Copyright  The Regents of the University of California Davis campus. All rights reserved. Click to Close Campus Parking:   Directions:     Share this Location   i12',
University of California Hastings College of Law.csv,3,20,0.1781778,https://www.uchastings.edu/our-story/,Our Story & About Us - UC Hastings College of the Law,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Davis.csv,3,13,0.17462924,https://myadmissions.ucdavis.edu/,MyAdmissions | UC Davis,UC Davis application and if you are admitted submit your Statement of Intent to Register and complet,
University of California Hastings College of Law.csv,0,17,0.17189056,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Hastings College of Law.csv,1,18,0.17189056,http://www.uchastings.edu/,UC Hastings College of the Law - San Francisco California,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Hastings College of Law.csv,5,22,0.17184277,https://www.uchastings.edu/academics/,Academic Programs - UC Hastings College of the Law,UC Hastings Law | San Francisco \t\t\t\tMenu\t\t\t Our Story Admissions Academics Faculty and Resear,
University of California Davis.csv,1,11,0.17071806,http://www.ucdavis.edu/,UC Davis | UC Davis,UC Davis is centrally located in Northern California. Weare a day trip away from some of the most be,
University of California Irvine.csv,3,27,0.16599846,http://www.uci.edu/about/index.php,About Us | UCI,UCI Faculty Honors Peter the Anteater Diversity Resources Administrative Offices Academic Senate Dir,
University of California Davis.csv,5,15,0.15696675,https://www.ucdavis.edu/emergency/#quicklink,Emergencies and FAQs | UC Davis,UC Davis WarnMe and Aggie Alert provide faculty staff students and other subscribers with timely inf,
University of California Irvine.csv,6,30,0.15552424,http://www.uci.edu/university-facts/index.php,University Facts | UCI,UCI Faculty Honors Peter the Anteater Diversity Resources Administrative Offices Academic Senate Dir,
University of California Berkeley.csv,5,5,0.15319872,https://calparents.berkeley.edu/,Cal Parents & Families,UC Regents; all rights reserved\r\t\t\t  - The latest updates on the evolving COVID-19 policies and ,
University of California Berkeley.csv,9,9,0.14507289,https://bconnected.berkeley.edu/,Home | bConnected,UC Berkeley offers a variety of training and resource options to students faculty and staff wishing ,
University of California Berkeley.csv,7,7,0.13632888,http://www.berkeley.edu/map,Campus Map | University of California Berkeley,UC Regents; all rights reserved\r              content "",
University of California Berkeley.csv,8,8,0.13176098,http://www.berkeley.edu/directory,Campus Directory | University of California Berkeley,UC Berkeley. :     This campus directory is the property of the Regents of the University of Califor,
University of California Berkeley.csv,6,6,0.12275014,https://alumni-friends.berkeley.edu/,Home â€? University of California Berkeley,UC Regents. All rights reserved.  /.row ',
University of California Berkeley.csv,2,2,0.120686755,https://coronavirus.berkeley.edu/,UC Berkeley Coronavirus (COVID-19) updates and resources â€? University of California Berkeley Coronavirus Updates,UC Berkeley campus. In accordance with CDC and city recommendations UC Berkeley continues to  . The ,
University of California Berkeley.csv,3,3,0.120686755,http://www.berkeley.edu/students,Students | University of California Berkeley,UC Regents; all rights reserved\r            "",
University of California Berkeley.csv,0,0,0.11869159,http://www.berkeley.edu/,Home | University of California Berkeley,UC Regents; all rights reserved\r            "",
University of California Berkeley.csv,4,4,0.106381,http://www.berkeley.edu/faculty-staff,Faculty & Staff | University of California Berkeley,UC Regents; all rights reserved\r            "",
University of California Irvine.csv,4,28,0.088104695,http://chancellor.uci.edu,UC Irvine Chancellor - Home | Office of the Chancellor | UCI,uction Greeting from Chancellor Gillman Welcome to the University of California Irvine one of the na,
